รหัส,ชื่อ,ระดับ,โบนัส,เงื่อนไข,คำอธิบาย,หมายเหตุความเป็นไปได้
M01,นักเดินป่า,ง่าย,3,มีอุทยานที่ cost มี 🌳 ≥ 3 ใบ,สำรวจอุทยานป่าเขาให้ได้อย่างน้อย 3 แห่ง,~45 ใบมี 🌳 ใน cost — ทำได้ง่าย
M02,นักปีนเขา,ง่าย,3,มีอุทยานที่ cost มี ⛰️ ≥ 3 ใบ,สำรวจอุทยานภูเขาให้ได้อย่างน้อย 3 แห่ง,~30 ใบมี ⛰️ — ทำได้ไม่ยาก
M03,คนรักทะเล,ง่าย,3,มีอุทยานที่ cost มี 🌊 ≥ 3 ใบ,สำรวจอุทยานทะเลน้ำตกให้ได้อย่างน้อย 3 แห่ง,~40 ใบมี 🌊 — ทำได้ง่าย
M04,นักผจญภัย,ง่าย,3,มีอุทยานที่ cost มี ☀️ ≥ 3 ใบ,สำรวจอุทยานกิจกรรมเด่นให้ได้อย่างน้อย 3 แห่ง,~20 ใบมี ☀️ — ยากกว่า resource อื่น
M05,ขาเที่ยวเหนือ,ง่าย,3,มีอุทยานภาคเหนือ ≥ 2 ใบ,ไปเที่ยวภาคเหนือให้ได้อย่างน้อย 2 แห่ง,20 ใบในสำรับ — ทำได้ง่าย
M06,ขาเที่ยวอีสาน,ง่าย,3,มีอุทยานภาคอีสาน ≥ 2 ใบ,ไปเที่ยวภาคอีสานให้ได้อย่างน้อย 2 แห่ง,20 ใบในสำรับ — ทำได้ง่าย
M07,ขาเที่ยวกลาง,ง่าย,3,มีอุทยานภาคกลาง ≥ 2 ใบ,ไปเที่ยวภาคกลางให้ได้อย่างน้อย 2 แห่ง,20 ใบในสำรับ — ทำได้ง่าย
M08,ขาเที่ยวใต้,ง่าย,3,มีอุทยานภาคใต้ ≥ 2 ใบ,ไปเที่ยวภาคใต้ให้ได้อย่างน้อย 2 แห่ง,20 ใบในสำรับ — ทำได้ง่าย
M09,นักสำรวจมือใหม่,ง่าย,3,มีอุทยาน ★ จำนวน ≥ 3 ใบ,สะสมอุทยาน Tier 1 ให้ได้ 3 แห่ง,40 ใบ ★ ในสำรับ — ง่ายมาก
M10,ผู้ชำนาญภาคเหนือ,กลาง,5,มีอุทยานภาคเหนือ ≥ 4 ใบ,เจาะลึกภาคเหนือให้ได้อย่างน้อย 4 แห่ง,ต้องเน้นภาคเหนือโดยเฉพาะ
M11,ผู้ชำนาญภาคอีสาน,กลาง,5,มีอุทยานภาคอีสาน ≥ 4 ใบ,เจาะลึกภาคอีสานให้ได้อย่างน้อย 4 แห่ง,ต้องเน้นภาคอีสานโดยเฉพาะ
M12,ผู้ชำนาญภาคกลาง,กลาง,5,มีอุทยานภาคกลาง ≥ 4 ใบ,เจาะลึกภาคกลางให้ได้อย่างน้อย 4 แห่ง,ต้องเน้นภาคกลางโดยเฉพาะ
M13,ผู้ชำนาญภาคใต้,กลาง,5,มีอุทยานภาคใต้ ≥ 4 ใบ,เจาะลึกภาคใต้ให้ได้อย่างน้อย 4 แห่ง,ต้องเน้นภาคใต้โดยเฉพาะ
M14,นักเดินทางข้ามภาค,กลาง,5,มีอุทยานจาก 3 ภาค ภาคละ ≥ 2 ใบ,กระจายการเที่ยวให้ครอบคลุม 3 ภาค,ต้องกระจาย ≥ 6 ใบ ใน 3 ภาค
M15,นักสะสมระดับสูง,กลาง,5,มีอุทยาน ★★★ ขึ้นไป ≥ 2 ใบ,สำรวจอุทยานระดับสูงให้ได้ 2 แห่ง,20 ใบ ★★★+ ในสำรับ — ต้องลงทุน resource เยอะ
M16,ป่าเขาล้วน,กลาง,5,มีอุทยานที่ cost มีทั้ง 🌳 และ ⛰️ ≥ 3 ใบ,สะสมอุทยานป่าเขาผสมให้ได้ 3 แห่ง,~25 ใบมีทั้ง 🌳+⛰️ — ต้องตั้งใจเก็บ
M17,ตำนานแห่งภาค,ยาก,7,มีอุทยานภาคเดียวกัน ≥ 6 ใบ,ทุ่มทั้งเกมเพื่อครองภาคเดียว,ต้องเน้น 75% ของการ์ดทั้งหมดไปภาคเดียว
M18,สี่ภาค สี่ดาว,ยาก,7,มีอุทยาน ★★★★ จาก 2 ภาคที่ต่างกัน,สำรวจอุทยาน Iconic ถึง 2 แห่งจากคนละภาค,★★★★ cost 4-5 ชิ้น × 2 ใบ = ใช้ ~8-10 resource
M19,นักสำรวจผู้ยิ่งใหญ่,ยาก,7,สำรวจรวม ≥ 9 ใบ,สำรวจให้ได้มากที่สุด 9 แห่งขึ้นไป,ปกติได้ ~7 ใบ ต้องมี engine ดีมาก
M20,เส้นทางในฝัน,ยาก,7,มี ★★★★ 1 ใบ + ★ จากภาคเดียวกัน ≥ 3 ใบ,สำรวจอุทยาน Iconic พร้อมอุทยานเล็กรอบข้าง,ต้องเก็บ 4 ใบจากภาคเดียว รวม ★★★★ ด้วย
